feature,score
693.43nm_median,97.32553606144863
714.87nm_mean,97.25250377546611
479.05nm_median,97.18940340631188
669.85nm_median,97.1052171751953
719.15nm_median,97.08622451485387
695.57nm_median,96.94243517919973
944.25nm_q25,96.88167039297193
717.01nm_median,96.78218338207355
697.72nm_median,96.73120910207109
667.70nm_median,96.58453393243754
714.87nm_median,96.55837151395379
699.86nm_median,96.52937491701657
989.27nm_q25,96.4763956914517
639.83nm_q25,96.47361423508097
702.00nm_median,96.45124919893287
712.72nm_median,96.43846564009013
704.15nm_median,96.37884434558025
710.58nm_median,96.363986598937
706.29nm_median,96.3624031316105
708.43nm_median,96.35024947694174
665.56nm_median,96.13969496341332
661.27nm_mean,96.00098900892738
663.41nm_median,95.81248117208989
708.43nm_q25,95.68412245910085
965.69nm_q25,95.62353129866621
717.01nm_mean,95.59294128047665
547.65nm_median,95.58465489942763
937.82nm_q25,95.56461388074695
661.27nm_median,95.46269566452688
539.07nm_skew,95.35839820420566
957.12nm_q25,95.33356563947777
974.27nm_q25,95.19394588824696
646.26nm_q25,95.10054099647381
659.13nm_median,95.09717053531148
942.11nm_q25,94.97129956592217
648.41nm_q25,94.94249646025983
993.56nm_q25,94.859768178021
656.98nm_median,94.81008225638315
654.84nm_median,94.5745314594221
706.29nm_min,94.56284882855363
637.69nm_q25,94.53255378046701
459.75nm_median,94.52643745492209
652.70nm_median,94.37193455035884
549.79nm_median,94.27658914918048
472.62nm_median,94.27534315890665
641.98nm_q25,94.24343571845581
650.55nm_median,94.24025001549535
526.21nm_skew,94.20627240727381
648.41nm_median,94.16396551664917
644.12nm_q25,94.16259977926526
719.15nm_mean,94.07668634725204
939.97nm_q25,94.05494643234107
646.26nm_median,94.03487351376506
644.12nm_median,93.9341166706756
641.98nm_median,93.83635305690932
639.83nm_median,93.8039547318528
637.69nm_median,93.76395172050718
635.55nm_median,93.62439984958195
635.55nm_q25,93.563908203536
633.40nm_median,93.45678848934409
710.58nm_q25,93.21989269613105
631.26nm_median,93.21255085724849
629.11nm_median,92.93786869005946
551.94nm_median,92.93471810889173
470.47nm_median,92.91632808044595
987.13nm_q25,92.88611172992856
946.40nm_median,92.84462827187436
626.97nm_median,92.70959596163637
721.30nm_mean,92.66961822479435
693.43nm_min,92.5058359108707
976.41nm_q25,92.41912344515845
624.83nm_median,92.41332520383985
622.68nm_median,92.12982837844201
1012.86nm_q25,92.05242557315725
620.54nm_median,91.85743391655485
554.08nm_median,91.80535105354852
659.13nm_mean,91.58792351780014
618.39nm_median,91.50801771394788
1004.28nm_q25,91.41603173266523
633.40nm_q25,91.38180636172207
967.84nm_q25,91.32218272260663
723.44nm_mean,91.26658462868203
616.25nm_median,91.20337504657414
948.54nm_median,91.10349262167308
541.22nm_skew,91.09404070495803
631.26nm_q25,91.05964788194417
556.22nm_median,90.9708762098275
614.11nm_median,90.95085208717147
931.39nm_q25,90.9374507793981
997.85nm_q25,90.93441607354752
466.18nm_median,90.86878661686382
717.01nm_min,90.83971773223466
629.11nm_q25,90.81989827249504
794.19nm_min,90.8082339821368
712.72nm_q25,90.7890545788008
464.04nm_median,90.72675605692169
611.96nm_median,90.71902201135207
933.54nm_q25,90.64319336300208
969.98nm_q25,90.49778245167947
609.82nm_median,90.37367266618412
626.97nm_q25,90.24526959964861
468.33nm_median,90.19373588028179
1010.71nm_q25,90.15137727173675
999.99nm_q25,90.12968946362435
714.87nm_q25,90.10384903527753
708.43nm_min,90.0814750266721
607.68nm_median,90.05934716006612
935.68nm_q25,89.9795261170031
792.04nm_min,89.97832171488596
558.37nm_median,89.96879755898998
725.59nm_mean,89.93524715391284
768.46nm_min,89.77214263261604
717.01nm_q25,89.69212651478821
605.53nm_median,89.66428635538566
691.28nm_min,89.58388954544057
785.61nm_min,89.54718019184435
710.58nm_min,89.45306887050849
603.39nm_median,89.44306747269464
1008.57nm_q25,89.35892676704846
461.90nm_median,89.32859524416767
601.24nm_median,89.31751750247795
892.80nm_min,89.29773390052787
787.76nm_min,89.28425986195397
929.25nm_q25,89.28378595143359
560.51nm_median,89.16080082222604
854.21nm_min,89.12321822099697
599.10nm_median,89.10643003402883
875.65nm_min,89.0437235262928
596.96nm_median,88.98532681775117
594.81nm_median,88.88506350508845
751.31nm_min,88.77818914897823
897.09nm_min,88.74856354626316
864.93nm_min,88.72347894302405
592.67nm_median,88.71273023084389
817.77nm_min,88.69617302935588
727.73nm_mean,88.68286716987222
832.78nm_min,88.60415527201583
1015.00nm_q25,88.58794068598817
562.66nm_median,88.5169907210604
809.19nm_min,88.48639422906732
590.53nm_median,88.47562917794593
924.96nm_q25,88.44563610418662
927.10nm_q25,88.41611167042232
978.56nm_q25,88.35685955837069
828.49nm_min,88.3546661142761
882.08nm_min,88.35390739244893
524.07nm_skew,88.31714924091666
822.06nm_min,88.29020611139833
588.38nm_median,88.2748263058872
918.53nm_q25,88.22250818782261
841.35nm_min,88.20418136025276
860.65nm_min,88.14701051593347
586.24nm_median,88.06386958475842
770.61nm_min,88.02730661893096
584.09nm_median,87.99872737184506
564.80nm_median,87.98434232795027
830.63nm_min,87.96769978249648
796.33nm_min,87.96126290120462
725.59nm_min,87.91020805795884
991.42nm_q25,87.85326035398084
581.95nm_median,87.82498931440911
566.94nm_median,87.70735026816311
579.81nm_median,87.69307529829125
905.67nm_q25,87.69005819529502
804.91nm_min,87.64263547220692
916.38nm_q25,87.62721221216871
888.52nm_min,87.62053376150736
907.81nm_q25,87.57551308806568
577.66nm_median,87.56702727683921
856.36nm_q25,87.55103071702752
575.52nm_median,87.49379542245941
719.15nm_q25,87.47259753550632
909.95nm_q25,87.46593784555127
656.98nm_mean,87.45904699420652
729.87nm_mean,87.4573666492805
