feature,score
419.02nm_median,87.43662866779569
569.09nm_median,87.42594339432759
849.93nm_q25,87.42324350643052
573.37nm_median,87.42179134309349
869.22nm_min,87.41739509992735
890.66nm_q25,87.41643704025485
854.21nm_q25,87.3727361711236
571.23nm_median,87.36743343090086
777.04nm_min,87.33387889175624
862.79nm_q25,87.30070045337564
892.80nm_q25,87.29397194741222
972.12nm_q25,87.26978299459647
815.63nm_min,87.26780370144034
899.23nm_q25,87.2634276129589
800.62nm_min,87.25741475300788
922.82nm_q25,87.24164135389711
920.67nm_q25,87.23892738183291
826.34nm_q25,87.1542316723034
852.07nm_min,87.14966670335221
867.08nm_q25,87.134099102901
897.09nm_q25,87.13083906832411
798.47nm_min,87.11755929316787
852.07nm_q25,87.09884285310555
451.18nm_median,87.08196568000362
858.50nm_q25,87.06332943242883
837.06nm_min,87.04457087048645
860.65nm_q25,87.01902371928281
903.52nm_q25,87.00538905715473
841.35nm_q25,86.99260475201568
813.48nm_q25,86.98823983798884
837.06nm_q25,86.95312168413346
882.08nm_q25,86.95182975664707
894.95nm_q25,86.92343117497576
807.05nm_q25,86.91857727483281
839.21nm_q25,86.91331894975218
847.78nm_q25,86.89853092597076
714.87nm_min,86.89697143399529
912.10nm_q25,86.89607786973359
804.91nm_q25,86.89309435164182
832.78nm_q25,86.8906516798618
869.22nm_q25,86.8776584599934
886.37nm_q25,86.86804868746563
912.10nm_min,86.81053137094727
864.93nm_q25,86.79745693597921
811.34nm_q25,86.79667134967673
543.36nm_skew,86.79312559013393
873.51nm_q25,86.79299700106228
849.93nm_min,86.76979574371553
845.64nm_min,86.74467788767079
828.49nm_q25,86.74327732801783
845.64nm_q25,86.73814720246655
822.06nm_q25,86.73598835707074
802.76nm_q25,86.73492974686404
815.63nm_q25,86.71188802787044
830.63nm_q25,86.6899552056229
834.92nm_q25,86.68327134157322
875.65nm_q25,86.68204677217594
914.24nm_q25,86.6369663168537
871.36nm_q25,86.62288645397376
800.62nm_q25,86.60317712369704
824.20nm_q25,86.59749474417825
817.77nm_q25,86.59577788883031
809.19nm_q25,86.58537577781883
796.33nm_q25,86.54763754751382
901.38nm_q25,86.54037424134042
721.30nm_q25,86.48154822757871
843.49nm_q25,86.4623336719779
789.90nm_min,86.45479219926519
884.23nm_q25,86.44474518414056
819.91nm_q25,86.43307599521434
888.52nm_q25,86.41369423596124
879.94nm_q25,86.40188720612517
802.76nm_min,86.39218155905643
779.18nm_q25,86.37647963849675
774.89nm_q25,86.337487909307
879.94nm_min,86.3214957451436
732.02nm_mean,86.30726806766165
777.04nm_q25,86.25938761468349
792.04nm_q25,86.25755175533831
798.47nm_q25,86.24314827954458
890.66nm_min,86.21757283049504
453.32nm_median,86.21150239146374
794.19nm_q25,86.19300756209806
772.75nm_q25,86.15185969855935
783.47nm_q25,86.14584296729016
922.82nm_min,86.13994011489321
877.80nm_q25,86.13268752859868
862.79nm_min,86.11262376307013
624.83nm_q25,86.06399916331821
770.61nm_q25,86.05160224731127
787.76nm_q25,86.01879389499548
781.32nm_q25,86.01075649175164
732.02nm_min,85.98327306413161
789.90nm_q25,85.9230229727141
785.61nm_q25,85.86206846075369
442.60nm_median,85.81514063521924
622.68nm_q25,85.78919281742613
834.92nm_min,85.7681383535969
813.48nm_min,85.75648406097827
905.67nm_min,85.75538229811671
914.24nm_min,85.6781981511369
871.36nm_min,85.65582618411494
873.51nm_min,85.60322493186757
768.46nm_q25,85.56003385875339
764.17nm_min,85.47436218347761
783.47nm_min,85.44899244927021
884.23nm_min,85.43079246312661
982.84nm_q25,85.42977108589719
779.18nm_min,85.37585638899321
811.34nm_min,85.36003797591816
766.32nm_q25,85.35529678339422
894.95nm_min,85.30550051772754
620.54nm_q25,85.30302553414522
847.78nm_min,85.24507619865214
734.16nm_mean,85.21939363638639
740.59nm_min,85.18848836145786
618.39nm_q25,85.06613193712484
753.45nm_q25,85.02425276546
751.31nm_q25,84.97456139593484
772.75nm_min,84.95469978573412
723.44nm_q25,84.91920190522858
755.60nm_q25,84.88592803187206
446.89nm_median,84.8290161525525
757.74nm_min,84.81518182105711
725.59nm_q25,84.80886382325507
764.17nm_q25,84.74162131028201
736.30nm_min,84.73898008195748
781.32nm_min,84.72600195954064
412.59nm_median,84.70975667194946
457.61nm_median,84.60840799027758
712.72nm_min,84.55277984454625
824.20nm_min,84.54634184134545
980.70nm_q25,84.4746916193901
