num_leds,wavelengths,auc_mean,auc_std,balanced_acc
4,"[np.int64(690), np.int64(850), np.int64(870), np.int64(890)]",0.9331589938300902,0.02432304375513032,0.9207313716184148
3,"[np.int64(810), np.int64(850), np.int64(870)]",0.933139060275273,0.024890719284669495,0.9190569530137637
4,"[np.int64(450), np.int64(830), np.int64(850), np.int64(870)]",0.9331366872330328,0.022887918491231056,0.9265742762221167
4,"[np.int64(450), np.int64(850), np.int64(870), np.int64(890)]",0.9330873279544376,0.03196665277030023,0.9144755576649264
4,"[np.int64(630), np.int64(830), np.int64(850), np.int64(870)]",0.9330574276222116,0.02048180401455764,0.9291148552444233
4,"[np.int64(770), np.int64(830), np.int64(850), np.int64(870)]",0.933046037019459,0.02096322195933129,0.9291148552444234
4,"[np.int64(750), np.int64(830), np.int64(850), np.int64(870)]",0.9330446131941148,0.020886483199109192,0.9296962505932604
4,"[np.int64(670), np.int64(850), np.int64(870), np.int64(910)]",0.932970099667774,0.02289727208993707,0.9215975320360702
4,"[np.int64(510), np.int64(690), np.int64(850), np.int64(870)]",0.9329326056003797,0.026850694678098825,0.9225453251067869
4,"[np.int64(690), np.int64(750), np.int64(850), np.int64(870)]",0.9328984337921215,0.023931628052286682,0.9163360227812054
4,"[np.int64(730), np.int64(810), np.int64(850), np.int64(870)]",0.9328580920740389,0.025037047695402576,0.9181789273849074
4,"[np.int64(730), np.int64(850), np.int64(870), np.int64(910)]",0.9327949691504509,0.024350138594128542,0.9247892738490744
4,"[np.int64(710), np.int64(850), np.int64(870), np.int64(930)]",0.9327764594209779,0.021841664711561435,0.9233417180825818
4,"[np.int64(690), np.int64(850), np.int64(870), np.int64(930)]",0.9327479829140959,0.02146137991429505,0.9215975320360702
4,"[np.int64(510), np.int64(710), np.int64(850), np.int64(870)]",0.9327470336971997,0.027217702773909825,0.9234114855244423
4,"[np.int64(710), np.int64(810), np.int64(850), np.int64(870)]",0.9327441860465117,0.0247251925527708,0.9173127669672521
4,"[np.int64(730), np.int64(850), np.int64(870), np.int64(890)]",0.9327323208353109,0.025646579925086458,0.9186905552918843
4,"[np.int64(670), np.int64(810), np.int64(850), np.int64(870)]",0.9326720455624111,0.024643530729614994,0.9164466065495965
4,"[np.int64(690), np.int64(810), np.int64(850), np.int64(870)]",0.9326260085429521,0.024609330072308505,0.9170280018984338
