feature,frequency
470.47nm,0.0
470.47nm,0.0
470.47nm,0.0
470.47nm,0.0
470.47nm,0.0
470.47nm,0.0
470.47nm,0.0
470.47nm,0.0
470.47nm,0.0
472.62nm,0.0
472.62nm,0.0
472.62nm,0.0
472.62nm,0.0
472.62nm,0.0
472.62nm,0.0
472.62nm,0.0
472.62nm,0.0
472.62nm,0.0
474.76nm,0.0
474.76nm,0.0
474.76nm,0.0
474.76nm,0.0
474.76nm,0.0
474.76nm,0.0
474.76nm,0.0
474.76nm,0.0
476.90nm,0.0
476.90nm,0.0
476.90nm,0.0
476.90nm,0.0
476.90nm,0.0
476.90nm,0.0
476.90nm,0.0
476.90nm,0.0
479.05nm,0.0
479.05nm,0.0
479.05nm,0.0
479.05nm,0.0
479.05nm,0.0
479.05nm,0.0
479.05nm,0.0
479.05nm,0.0
479.05nm,0.0
481.19nm,0.0
481.19nm,0.0
481.19nm,0.0
481.19nm,0.0
481.19nm,0.0
481.19nm,0.0
481.19nm,0.0
481.19nm,0.0
481.19nm,0.0
483.33nm,0.0
483.33nm,0.0
483.33nm,0.0
483.33nm,0.0
483.33nm,0.0
483.33nm,0.0
483.33nm,0.0
483.33nm,0.0
483.33nm,0.0
485.48nm,0.0
485.48nm,0.0
485.48nm,0.0
485.48nm,0.0
485.48nm,0.0
485.48nm,0.0
485.48nm,0.0
485.48nm,0.0
485.48nm,0.0
487.62nm,0.0
487.62nm,0.0
487.62nm,0.0
487.62nm,0.0
487.62nm,0.0
487.62nm,0.0
487.62nm,0.0
487.62nm,0.0
487.62nm,0.0
489.77nm,0.0
489.77nm,0.0
489.77nm,0.0
489.77nm,0.0
489.77nm,0.0
489.77nm,0.0
489.77nm,0.0
489.77nm,0.0
489.77nm,0.0
491.91nm,0.0
491.91nm,0.0
491.91nm,0.0
491.91nm,0.0
491.91nm,0.0
491.91nm,0.0
491.91nm,0.0
491.91nm,0.0
491.91nm,0.0
494.05nm,0.0
494.05nm,0.0
494.05nm,0.0
494.05nm,0.0
494.05nm,0.0
494.05nm,0.0
494.05nm,0.0
494.05nm,0.0
494.05nm,0.0
496.20nm,0.0
496.20nm,0.0
496.20nm,0.0
496.20nm,0.0
496.20nm,0.0
496.20nm,0.0
496.20nm,0.0
496.20nm,0.0
496.20nm,0.0
498.34nm,0.0
498.34nm,0.0
498.34nm,0.0
498.34nm,0.0
498.34nm,0.0
498.34nm,0.0
498.34nm,0.0
498.34nm,0.0
498.34nm,0.0
500.48nm,0.0
500.48nm,0.0
500.48nm,0.0
500.48nm,0.0
500.48nm,0.0
500.48nm,0.0
500.48nm,0.0
500.48nm,0.0
502.63nm,0.0
502.63nm,0.0
502.63nm,0.0
502.63nm,0.0
502.63nm,0.0
502.63nm,0.0
502.63nm,0.0
502.63nm,0.0
502.63nm,0.0
504.77nm,0.0
504.77nm,0.0
504.77nm,0.0
504.77nm,0.0
504.77nm,0.0
504.77nm,0.0
504.77nm,0.0
504.77nm,0.0
506.92nm,0.0
506.92nm,0.0
506.92nm,0.0
506.92nm,0.0
506.92nm,0.0
506.92nm,0.0
506.92nm,0.0
506.92nm,0.0
509.06nm,0.0
509.06nm,0.0
509.06nm,0.0
509.06nm,0.0
509.06nm,0.0
509.06nm,0.0
509.06nm,0.0
509.06nm,0.0
509.06nm,0.0
511.20nm,0.0
511.20nm,0.0
511.20nm,0.0
511.20nm,0.0
511.20nm,0.0
511.20nm,0.0
511.20nm,0.0
511.20nm,0.0
511.20nm,0.0
513.35nm,0.0
513.35nm,0.0
513.35nm,0.0
